station,generation,attraction
Hauptbahnhof,0.042019091,0.044017261
Sendlinger Tor,0.042209674,0.03966369
Giesing,0.040167108,0.037802944
Scheidplatz,0.042315943,0.037151496
Theresienstrasse,0.036696282,0.042289658
Munchner Freiheit,0.037240861,0.041768175
Studentenstadt,0.039355512,0.041509801
Arabellapark,0.039672198,0.042205537
Karlsplatz,0.038292499,0.036426791
Heimeranplatz,0.042548776,0.03855994
Ostbahnhof,0.040853372,0.041577831
Innsbrucker Ring,0.038881276,0.03868254
Neuperlach Zentrum,0.03816684,0.037476289
Laim,0.042242462,0.039116254
Pasing,0.040871872,0.039650865
Olympia Einkaufszentrum,0.040990398,0.038179582
Harras,0.036052553,0.038700382
Milbertshofen,0.037654073,0.042586105
Feldmoching,0.040018183,0.042576321
Rotkreuzplatz,0.040688924,0.037776488
Obersendling,0.042292408,0.043653065
Trudering,0.035621784,0.036700323
Westpark,0.042445896,0.036881099
Klinikum Grosshadern,0.040280597,0.042636816
Mangfallplatz,0.042421418,0.042410749
