station,generation,attraction
Hauptbahnhof,0.020009802,0.122730637
Sendlinger Tor,0.019732992,0.097685168
Giesing,0.09978057,0.006534079
Scheidplatz,0.005079241,0.006506865
Theresienstrasse,0.005201363,0.09784606
Munchner Freiheit,0.049517503,0.024799957
Studentenstadt,0.099104485,0.031284613
Arabellapark,0.079416376,0.005998492
Karlsplatz,0.005068973,0.097681396
Heimeranplatz,0.004561917,0.030716546
Ostbahnhof,0.049476624,0.097889826
Innsbrucker Ring,0.005282771,0.005586317
Neuperlach Zentrum,0.019777367,0.097772686
Laim,0.079618323,0.006625557
Pasing,0.07957782,0.024578349
Olympia Einkaufszentrum,0.019503331,0.061801412
Harras,0.0051776,0.005897939
Milbertshofen,0.049968341,0.02428999
Feldmoching,0.049928905,0.0067158
Rotkreuzplatz,0.019545101,0.025103101
Obersendling,0.079686903,0.0244879
Trudering,0.050048838,0.005528423
Westpark,0.079361323,0.025032097
Klinikum Grosshadern,0.020254776,0.061257267
Mangfallplatz,0.005318753,0.005649524
