Total Cost by Replication,179756.5,181180.0,181749.0,179911.0,180527.0,179083.5,178467.0,182223.0,180333.0,179320.5
Courier Cost by Replication,2056.5,1920.0,2019.0,2121.0,2067.0,2233.5,2157.0,2043.0,2043.0,2080.5
Total Parcels by Replication,19141,19206,19319,19193,19224,19174,19069,19380,19191,19111
Total OCs by Replication,9657,9499,9602,9656,9566,9734,9648,9537,9546,9631
Assigned OCs by Replication,1371,1280,1346,1414,1378,1489,1438,1362,1362,1387
Professional Shipments by Replication,17770,17926,17973,17779,17846,17685,17631,18018,17829,17724
Professional Cost by Replication,177700.0,179260.0,179730.0,177790.0,178460.0,176850.0,176310.0,180180.0,178290.0,177240.0
Run time,662.4995260238647
Upper Bound,191713.40195355544
Lower Bound,-167841.77116718484
