Total Cost by Replication,179044.0,181694.0,182271.5,181662.0,180605.0,184366.5,183931.5,183288.5,181327.5,179131.5
Courier Cost by Replication,2064.0,2094.0,2071.5,2082.0,2085.0,1996.5,2011.5,2008.5,1987.5,1951.5
Total Parcels by Replication,18909,19166,19216,19124,19053,19391,19337,19270,19084,18844
Total OCs by Replication,9461,9535,9674,9679,9731,9607,9601,9508,9533,9501
Assigned OCs by Replication,1376,1396,1381,1388,1390,1331,1341,1339,1325,1301
Professional Shipments by Replication,17698,17960,18020,17958,17852,18237,18192,18128,17934,17718
Professional Cost by Replication,176980.0,179600.0,180200.0,179580.0,178520.0,182370.0,181920.0,181280.0,179340.0,177180.0
Run time,585.6936054229736
Upper Bound,178692.33418068092
Lower Bound,-217572.4634497554
